,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,35.0,15.0,,,,,,,,,,,,
1,35.0,15.0,21.0,14.0,,,,,,,,,,
2,21.0,14.0,35.0,15.0,34.0,37.0,,,,,,,,
3,24.0,27.0,35.0,15.0,31.0,38.0,21.0,14.0,,,,,,
4,24.0,27.0,36.0,25.0,31.0,38.0,35.0,15.0,21.0,14.0,,,,
5,34.0,37.0,23.0,13.0,31.0,38.0,24.0,27.0,35.0,15.0,33.0,30.0,,
6,35.0,15.0,21.0,14.0,24.0,27.0,34.0,28.0,30.0,38.0,33.0,38.0,33.0,31.0
7,36.0,25.0,,,,,,,,,,,,
8,31.0,38.0,36.0,25.0,,,,,,,,,,
9,23.0,13.0,36.0,25.0,31.0,38.0,,,,,,,,
10,31.0,38.0,24.0,27.0,36.0,25.0,35.0,15.0,,,,,,
11,36.0,25.0,31.0,38.0,31.0,30.0,35.0,15.0,21.0,14.0,,,,
12,35.0,15.0,33.0,31.0,37.0,24.0,24.0,27.0,31.0,38.0,21.0,14.0,,
13,36.0,25.0,24.0,27.0,33.0,30.0,35.0,15.0,31.0,30.0,21.0,14.0,31.0,38.0
14,36.0,25.0,,,,,,,,,,,,
15,31.0,38.0,36.0,25.0,,,,,,,,,,
16,31.0,38.0,36.0,25.0,21.0,14.0,,,,,,,,
17,31.0,38.0,24.0,27.0,21.0,14.0,36.0,25.0,,,,,,
18,31.0,30.0,31.0,38.0,36.0,25.0,38.0,25.0,21.0,14.0,,,,
19,15.0,15.0,36.0,25.0,35.0,15.0,31.0,38.0,21.0,14.0,24.0,27.0,,
20,24.0,27.0,21.0,14.0,38.0,25.0,31.0,38.0,34.0,35.0,35.0,15.0,36.0,25.0
21,36.0,25.0,,,,,,,,,,,,
22,36.0,25.0,31.0,38.0,,,,,,,,,,
23,36.0,25.0,21.0,14.0,31.0,38.0,,,,,,,,
24,31.0,38.0,21.0,14.0,37.0,24.0,33.0,31.0,,,,,,
25,31.0,38.0,31.0,30.0,37.0,24.0,38.0,25.0,35.0,15.0,,,,
26,36.0,25.0,38.0,25.0,24.0,27.0,31.0,38.0,33.0,31.0,21.0,14.0,,
27,19.0,14.0,24.0,27.0,33.0,30.0,31.0,38.0,37.0,24.0,35.0,15.0,23.0,13.0
28,36.0,25.0,,,,,,,,,,,,
29,36.0,25.0,31.0,38.0,,,,,,,,,,
30,36.0,25.0,31.0,38.0,38.0,25.0,,,,,,,,
31,21.0,14.0,31.0,38.0,36.0,25.0,24.0,27.0,,,,,,
32,24.0,27.0,37.0,26.0,37.0,24.0,35.0,15.0,31.0,38.0,,,,
33,34.0,37.0,37.0,26.0,37.0,24.0,31.0,30.0,21.0,14.0,35.0,15.0,,
34,35.0,15.0,24.0,27.0,23.0,13.0,34.0,33.0,36.0,25.0,31.0,38.0,40.0,23.0
35,36.0,25.0,,,,,,,,,,,,
36,36.0,25.0,31.0,38.0,,,,,,,,,,
37,38.0,25.0,36.0,25.0,31.0,38.0,,,,,,,,
38,31.0,38.0,24.0,27.0,36.0,25.0,38.0,25.0,,,,,,
39,24.0,27.0,38.0,25.0,36.0,25.0,21.0,14.0,34.0,37.0,,,,
40,35.0,15.0,37.0,26.0,21.0,14.0,31.0,38.0,31.0,30.0,36.0,25.0,,
41,38.0,25.0,23.0,13.0,36.0,25.0,30.0,30.0,31.0,38.0,35.0,15.0,34.0,37.0
42,36.0,25.0,,,,,,,,,,,,
43,36.0,25.0,31.0,38.0,,,,,,,,,,
44,38.0,25.0,31.0,38.0,36.0,25.0,,,,,,,,
45,35.0,15.0,37.0,24.0,31.0,38.0,38.0,25.0,,,,,,
46,36.0,25.0,31.0,38.0,24.0,27.0,35.0,15.0,38.0,25.0,,,,
47,33.0,31.0,24.0,26.0,31.0,38.0,38.0,25.0,36.0,25.0,21.0,14.0,,
48,24.0,27.0,36.0,25.0,33.0,31.0,17.0,15.0,35.0,15.0,31.0,38.0,38.0,25.0
